GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PerpustakaanWebApp,com.id.perpus.api.controller.transaksi.pengembalian,PengembalianController,103,3,0,0,24,1,5,1,5,1
PerpustakaanWebApp,com.id.perpus.user,UserRepository,1737,3,52,0,361,1,45,1,19,1
PerpustakaanWebApp,com.id.perpus.user,UserModel,136,0,0,0,58,0,39,0,39,0
PerpustakaanWebApp,com.id.perpus.user,UserImplService.new Runnable() {...},79,0,0,0,19,0,2,0,2,0
PerpustakaanWebApp,com.id.perpus.user,UserImplService,1486,7,110,0,240,2,74,1,19,1
PerpustakaanWebApp,com.id.perpus.config,TileConfiguration,0,28,0,0,0,8,0,3,0,3
PerpustakaanWebApp,com.id.perpus.config,WebMvcConfig,0,72,0,0,0,31,0,21,0,21
PerpustakaanWebApp,com.id.perpus.api.controller.katalog,KatalogController,60,3,0,0,15,1,5,1,5,1
PerpustakaanWebApp,com.id.perpus.dashboard,DashboardImplService,483,7,34,0,64,2,23,1,6,1
PerpustakaanWebApp,com.id.perpus.dashboard,DashboardRepository,403,3,16,0,61,1,15,1,7,1
PerpustakaanWebApp,com.id.perpus.dashboard,DashboardModel,38,0,0,0,16,0,11,0,11,0
PerpustakaanWebApp,com.id.perpus,ServletInitializer,12,0,0,0,2,0,2,0,2,0
PerpustakaanWebApp,com.id.perpus,PerpustakaanWebAppApplication,5,3,0,0,2,1,1,1,1,1
PerpustakaanWebApp,com.id.perpus.prodi,ProdiRepository,229,3,8,0,52,1,6,1,2,1
PerpustakaanWebApp,com.id.perpus.prodi,ProdiModel,31,0,0,0,13,0,9,0,9,0
PerpustakaanWebApp,com.id.perpus.role,RoleModel,24,0,0,0,10,0,7,0,7,0
PerpustakaanWebApp,com.id.perpus.role,RoleRepository,222,3,8,0,53,1,6,1,2,1
PerpustakaanWebApp,com.id.perpus.api.controller.book,BookController,481,3,16,0,125,1,20,1,12,1
PerpustakaanWebApp,com.id.perpus.majors,MajorsModel,17,0,0,0,7,0,5,0,5,0
PerpustakaanWebApp,com.id.perpus.majors,MajorsRepository,196,3,4,0,46,1,4,1,2,1
PerpustakaanWebApp,com.id.perpus.system,SystemRepository,270,3,4,0,62,1,4,1,2,1
PerpustakaanWebApp,com.id.perpus.system,SystemImplService,89,7,8,0,14,2,5,1,1,1
PerpustakaanWebApp,com.id.perpus.system,SystemModel,38,0,0,0,16,0,11,0,11,0
PerpustakaanWebApp,com.id.perpus.api.controller.auth,AuthController,195,5,6,0,37,2,10,2,7,2
PerpustakaanWebApp,com.id.perpus.transaksi.pinjam,LoanImplService,569,7,34,0,90,2,27,1,10,1
PerpustakaanWebApp,com.id.perpus.transaksi.pinjam,LoanRepository,1387,3,74,0,284,1,46,1,9,1
PerpustakaanWebApp,com.id.perpus.transaksi.pinjam,LoanModel,136,0,0,0,58,0,39,0,39,0
PerpustakaanWebApp,com.id.perpus.api.controller.transaksi.peminjaman,PeminjamanController,267,3,8,0,70,1,15,1,11,1
PerpustakaanWebApp,com.id.perpus.api.controller.dashboard,DashboardController,44,3,0,0,12,1,4,1,4,1
PerpustakaanWebApp,com.id.perpus.auth,AuthImplService.new Runnable() {...},87,0,0,0,16,0,2,0,2,0
PerpustakaanWebApp,com.id.perpus.auth,AuthImplService,184,7,10,0,29,2,7,1,2,1
PerpustakaanWebApp,com.id.perpus.auth,LoginRepository,73,3,2,0,12,1,3,1,2,1
PerpustakaanWebApp,com.id.perpus.book,BookImplService,1083,7,76,0,165,2,56,1,18,1
PerpustakaanWebApp,com.id.perpus.book,BookModel,136,0,0,0,58,0,39,0,39,0
PerpustakaanWebApp,com.id.perpus.book,BookMissingModel,31,0,0,0,13,0,9,0,9,0
PerpustakaanWebApp,com.id.perpus.book,TransaksiModel,80,0,0,0,34,0,23,0,23,0
PerpustakaanWebApp,com.id.perpus.book,BookRepository,2161,3,70,0,492,1,54,1,19,1
PerpustakaanWebApp,com.id.perpus.api.controller.user,UserController,698,3,14,0,183,1,34,1,27,1
PerpustakaanWebApp,com.id.perpus.api.controller.system,SystemController,12,3,0,0,3,1,1,1,1,1
PerpustakaanWebApp,com.id.perpus.common,Messages,88,7,0,0,21,2,5,1,5,1
PerpustakaanWebApp,com.id.perpus.common,TokenModel,24,0,0,0,10,0,7,0,7,0
PerpustakaanWebApp,com.id.perpus.common,HistoryModel,24,0,0,0,10,0,7,0,7,0
PerpustakaanWebApp,com.id.perpus.common,Mail.new Authenticator() {...},12,0,0,0,2,0,2,0,2,0
PerpustakaanWebApp,com.id.perpus.common,BaseModel,79,0,0,0,33,0,21,0,21,0
PerpustakaanWebApp,com.id.perpus.common,SimilarityUtil,141,0,16,0,28,0,12,0,4,0
PerpustakaanWebApp,com.id.perpus.common,Constanta,60,0,0,0,24,0,2,0,2,0
PerpustakaanWebApp,com.id.perpus.common,DashboardModel,137,0,0,0,57,0,35,0,35,0
PerpustakaanWebApp,com.id.perpus.common,JwtAuthenticationFilter,130,0,4,0,35,0,7,0,5,0
PerpustakaanWebApp,com.id.perpus.common,CommonRepository,924,3,142,0,128,1,79,1,8,1
PerpustakaanWebApp,com.id.perpus.common,Common,688,3,64,0,165,1,56,1,24,1
PerpustakaanWebApp,com.id.perpus.common,Mail,90,3,0,0,23,1,2,1,2,1
PerpustakaanWebApp,com.id.perpus.common,Response,108,0,0,0,45,0,21,0,21,0
PerpustakaanWebApp,com.id.perpus.common,ComboModel,17,0,0,0,7,0,5,0,5,0
PerpustakaanWebApp,com.id.perpus.common,POIUtility,1023,0,100,0,248,0,84,0,33,0
